date,date_dt,yy,mm,method,gross_ret,sdf_ret,turnover_raw,turnover,cost,net_ret
20000331,2001-03-31,2001,3,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.022011891951984976,0.43710509330411174,0.0,0.0,0.0,0.022011891951984976
20000428,2001-04-30,2001,4,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.02856858999404457,0.5673059009263253,0.0,0.0,0.0,0.02856858999404457
20000531,2001-05-31,2001,5,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.008812132794221427,0.17498850783151476,0.0,0.0,0.0,0.008812132794221427
20000630,2001-06-30,2001,6,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.014463905554634606,0.2872195993325463,0.0,0.0,0.0,0.014463905554634606
20000731,2001-07-31,2001,7,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.007086732777089813,0.14072606745972205,0.0,0.0,0.0,0.007086732777089813
20000831,2001-08-31,2001,8,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.001265124901241233,0.025122444686020554,0.0,0.0,0.0,0.001265124901241233
20000929,2001-09-30,2001,9,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.011878902266256089,0.23588743279171243,0.0,0.0,0.0,0.011878902266256089
20001031,2001-10-31,2001,10,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.015361714236210345,0.30504799629112817,0.0,0.0,0.0,0.015361714236210345
20001130,2001-11-30,2001,11,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.027606736547639066,0.548205723560697,0.0,0.0,0.0,0.027606736547639066
20001229,2001-12-31,2001,12,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.015389869830790697,0.305607101061537,0.0,0.0,0.0,0.015389869830790697
20010131,2002-01-31,2002,1,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",-0.037103289342181704,-0.736785224331491,0.0,0.0,0.0,-0.037103289342181704
20010228,2002-02-28,2002,2,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.02868546465870608,0.5696267605468066,0.0,0.0,0.0,0.02868546465870608
20010330,2002-03-31,2002,3,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.020546000235951125,0.40799588557638083,0.0,0.0,0.0,0.020546000235951125
20010430,2002-04-30,2002,4,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",-0.009177186571089417,-0.1822376286952265,0.0,0.0,0.0,-0.009177186571089417
20010531,2002-05-31,2002,5,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.017397415768951006,0.34547230467629125,0.0,0.0,0.0,0.017397415768951006
20010629,2002-06-30,2002,6,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",-0.00045829303850815134,-0.00910063622857579,0.0,0.0,0.0,-0.00045829303850815134
20010731,2002-07-31,2002,7,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.022793614681111043,0.4526282926364519,0.0,0.0,0.0,0.022793614681111043
20010831,2002-08-31,2002,8,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.017882261889412922,0.35510022349330733,0.0,0.0,0.0,0.017882261889412922
20010928,2002-09-30,2002,9,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.02398110620585519,0.476209118621486,0.0,0.0,0.0,0.02398110620585519
20011031,2002-10-31,2002,10,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",-0.035230767333660755,-0.6996012826224395,0.0,0.0,0.0,-0.035230767333660755
20011130,2002-11-30,2002,11,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",-0.015913333853413595,-0.31600188179865085,0.0,0.0,0.0,-0.015913333853413595
20011231,2002-12-31,2002,12,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",-0.015847987658210695,-0.3147042580044973,0.0,0.0,0.0,-0.015847987658210695
20020131,2003-01-31,2003,1,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.029591653286845078,0.5876215637976059,0.0,0.0,0.0,0.029591653286845078
20020228,2003-02-28,2003,2,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.030736588267256438,0.610357315569035,0.0,0.0,0.0,0.030736588267256438
20020328,2003-03-31,2003,3,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.006597450372211967,0.1310100543290604,0.0,0.0,0.0,0.006597450372211967
20020430,2003-04-30,2003,4,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.036168078992672,0.7182141170421625,0.0,0.0,0.0,0.036168078992672
20020531,2003-05-31,2003,5,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.020191865607223452,0.4009635936557279,0.0,0.0,0.0,0.020191865607223452
20020628,2003-06-30,2003,6,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.01012029675958838,0.20096560845449124,0.0,0.0,0.0,0.01012029675958838
20020731,2003-07-31,2003,7,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",-0.0029142889540582097,-0.057871015719931446,0.0,0.0,0.0,-0.0029142889540582097
20020830,2003-08-31,2003,8,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",-0.004777624439143804,-0.09487253439183074,0.0,0.0,0.0,-0.004777624439143804
20020930,2003-09-30,2003,9,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.0013240185363993183,0.026291935611514314,0.0,0.0,0.0,0.0013240185363993183
20021031,2003-10-31,2003,10,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.0008259282312156647,0.01640101802041901,0.0,0.0,0.0,0.0008259282312156647
20021129,2003-11-30,2003,11,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.0031704688098539045,0.06295815316429464,0.0,0.0,0.0,0.0031704688098539045
20021231,2003-12-31,2003,12,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.009475060314307228,0.1881527099888326,0.0,0.0,0.0,0.009475060314307228
20030131,2004-01-31,2004,1,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.005066074927182486,0.10060049170521355,0.0,0.0,0.0,0.005066074927182486
20030228,2004-02-29,2004,2,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.0034668487669106056,0.06884357133122543,0.0,0.0,0.0,0.0034668487669106056
