date,date_dt,yy,mm,method,gross_ret,turnover_raw,turnover,cost,net_ret,wealth_gross,wealth_net,drawdown_net
19940131,1995-01-31,1995,1,AP-tree + RM rolling TC-aware + stock-level TC,0.04228467058902793,3.7913593054980654e-11,0.17338817234368648,0.0004334704308592162,0.04185120015816871,1.2865125768938102,1.2783033707213491,0.0
19940228,1995-02-28,1995,2,AP-tree + RM rolling TC-aware + stock-level TC,-0.015403242284753944,3.8201504351347004e-11,0.2038560808349381,0.0005096402020873453,-0.01591288248684129,1.2666961119695317,1.2579618794005272,-0.015912882486841307
19940331,1995-03-31,1995,3,AP-tree + RM rolling TC-aware + stock-level TC,-0.04461447862993876,3.7355908080391464e-11,0.18788974544582598,0.000469724363614565,-0.04508420299355333,1.2101831253514406,1.201247670671482,-0.06027966585614519
19940429,1995-04-30,1995,4,AP-tree + RM rolling TC-aware + stock-level TC,-0.003491675350415943,3.7537932506305494e-11,0.19190178266515837,0.0004797544566628959,-0.003971429807078839,1.2059575587631617,1.1964769998664933,-0.06401169920148231
19940531,1995-05-31,1995,5,AP-tree + RM rolling TC-aware + stock-level TC,0.001218277930912231,3.747191467708133e-11,0.19086717998620073,0.00047716794996550184,0.0007411099809467292,1.2074267502426197,1.1973637209130674,-0.06331802892971117
19940630,1995-06-30,1995,6,AP-tree + RM rolling TC-aware + stock-level TC,-0.02877934935182135,3.729768447216508e-11,0.1967467196425589,0.0004918667991063972,-0.029271216150927745,1.172677793980653,1.162315428626942,-0.09073584936958667
19940729,1995-07-31,1995,7,AP-tree + RM rolling TC-aware + stock-level TC,0.021616092356808878,3.734041667449034e-11,0.3711200171259909,0.0009278000428149773,0.0206882923139939,1.1980265054801178,1.1863617499754413,-0.07192472683070916
19940831,1995-08-31,1995,8,AP-tree + RM rolling TC-aware + stock-level TC,0.03963956411259123,3.6577812610391613e-11,0.18270008437368035,0.0004567502109342009,0.03918281390165703,1.2455157539526807,1.2328467416447733,-0.03556012611538728
19940930,1995-09-30,1995,9,AP-tree + RM rolling TC-aware + stock-level TC,-0.0012761832662800008,3.6777566669171646e-11,0.1869206066300886,0.00046730151657522155,-0.0017434847828552225,1.2439262475895982,1.230697292111123,-0.03724161235948387
19941031,1995-10-31,1995,10,AP-tree + RM rolling TC-aware + stock-level TC,0.007488174697314663,3.65828166370985e-11,0.18307741629317692,0.0004576935407329423,0.0070304811565817206,1.2532409846421242,1.2393496862327664,-0.03047295765683622
19941130,1995-11-30,1995,11,AP-tree + RM rolling TC-aware + stock-level TC,-0.04021924605676473,3.631636658063542e-11,0.19084521530778545,0.00047711303826946365,-0.0406963590950342,1.2028365771123806,1.1889126663575198,-0.06992917832438006
19941230,1995-12-31,1995,12,AP-tree + RM rolling TC-aware + stock-level TC,-0.0005640789240279851,3.5590520656471336e-11,0.1934180785300848,0.000483545196325212,-0.001047624120353197,1.2021580823501814,1.1876671327712502,-0.07090354295080414
19950131,1996-01-31,1996,1,AP-tree + RM rolling TC-aware + stock-level TC,0.021803434851071286,3.570829190061714e-11,0.1694344405305505,0.00042358610132637626,0.02137984874974491,1.2283692577793925,1.2130592764349428,-0.051039601225168485
19950228,1996-02-29,1996,2,AP-tree + RM rolling TC-aware + stock-level TC,0.03127173446035564,3.379665503618762e-11,0.21317167024127248,0.0005329291756031812,0.030738805284752455,1.2667824950279338,1.2503472693321391,-0.021869692304287924
19950331,1996-03-31,1996,3,AP-tree + RM rolling TC-aware + stock-level TC,0.02087504461314226,3.3585745512834664e-11,0.19263199335142,0.00048157998337855,0.02039346462976371,1.2932266361267897,1.2758461821441858,-0.0019222264709954917
19950428,1996-04-30,1996,4,AP-tree + RM rolling TC-aware + stock-level TC,0.029574641541330743,3.342412653074833e-11,0.19404133426707842,0.0004851033356676961,0.029089538205663047,1.3314733503219405,1.3129599584042184,0.0
19950531,1996-05-31,1996,5,AP-tree + RM rolling TC-aware + stock-level TC,0.03318524415034946,3.342756074112968e-11,0.20149179330671846,0.0005037294832667961,0.03268151466708266,1.3756586185320578,1.3558694785420982,0.0
19950630,1996-06-30,1996,6,AP-tree + RM rolling TC-aware + stock-level TC,0.048681322792754986,3.371291819927874e-11,0.20566335537959676,0.000514158388448992,0.048167164404306,1.4426274997934523,1.4211778666258161,0.0
19950731,1996-07-31,1996,7,AP-tree + RM rolling TC-aware + stock-level TC,0.056534942411610424,3.436295659912242e-11,0.45919939349981304,0.0011479984837495325,0.05538694392786089,1.5241863624156806,1.4998925654361372,0.0
19950831,1996-08-31,1996,8,AP-tree + RM rolling TC-aware + stock-level TC,0.028867533260955286,3.460664318045287e-11,0.18802823314118441,0.00047007058285296105,0.028397462678102326,1.5681858629286098,1.5424857085842731,0.0
19950929,1996-09-30,1996,9,AP-tree + RM rolling TC-aware + stock-level TC,0.032509619267314174,3.500080076029172e-11,0.18147348910670114,0.00045368372276675283,0.03205593554454742,1.6191669882728035,1.591931531037036,0.0
19951031,1996-10-31,1996,10,AP-tree + RM rolling TC-aware + stock-level TC,-0.03332550335519879,3.447760143788364e-11,0.18231568080157165,0.0004557892020039291,-0.033781292557202726,1.565207433372491,1.5381540262560383,-0.03378129255720275
19951130,1996-11-30,1996,11,AP-tree + RM rolling TC-aware + stock-level TC,0.027345984534796003,3.543856505992815e-11,0.191413230857622,0.000478533077144055,0.026867451457651948,1.608009571639243,1.579480304890864,-0.007821458337508358
19951229,1996-12-31,1996,12,AP-tree + RM rolling TC-aware + stock-level TC,0.018177684437568946,3.5611173189974143e-11,0.2035188593478257,0.0005087971483695643,0.01766888728919938,1.6372394622050916,1.6073879643734912,0.0
19960131,1997-01-31,1997,1,AP-tree + RM rolling TC-aware + stock-level TC,0.022589774174906346,3.5694990149423567e-11,0.1972492439116026,0.0004931231097790065,0.02209665106512734,1.6742243319265497,1.6429058553485374,0.0
19960229,1997-02-28,1997,2,AP-tree + RM rolling TC-aware + stock-level TC,0.032475326632353585,3.56584210943478e-11,0.21312449205418638,0.0005328112301354659,0.03194251540221812,1.7285953139616985,1.6953844009374024,0.0
19960329,1997-03-31,1997,3,AP-tree + RM rolling TC-aware + stock-level TC,0.02081113013808041,3.638387193524023e-11,0.1887078805737512,0.000471769701434378,0.02033936043664603,1.7645693359966315,1.7298674353467354,0.0
19960430,1997-04-30,1997,4,AP-tree + RM rolling TC-aware + stock-level TC,0.05548651804351813,3.6467259333788915e-11,0.20030262321953674,0.0005007565580488418,0.05498576148546929,1.8624791442974475,1.8249855135481912,0.0
19960531,1997-05-31,1997,5,AP-tree + RM rolling TC-aware + stock-level TC,0.06308543839085506,3.789575695346131e-11,0.19661035517837827,0.0004915258879459456,0.06259391250290912,1.9799744576092766,1.9392184971023034,0.0
19960628,1997-06-30,1997,6,AP-tree + RM rolling TC-aware + stock-level TC,-0.03997661188598994,3.949466903692411e-11,0.1907200088266063,0.00047680002206651576,-0.04045341190805646,1.9008217871732571,1.8607704924593018,-0.0404534119080564
19960731,1997-07-31,1997,7,AP-tree + RM rolling TC-aware + stock-level TC,-0.07250741660688628,4.0542259870449127e-11,0.36598432584784146,0.0009149608146196037,-0.07342237742150588,1.7629981099552396,1.7241482990671535,-0.11090560365246138
19960830,1997-08-31,1997,8,AP-tree + RM rolling TC-aware + stock-level TC,0.04474405692100431,4.1106130652113215e-11,0.22182435417004456,0.0005545608854251114,0.0441894960355792,1.8418817977386999,1.8003375434935318,-0.0716169703498063
19960930,1997-09-30,1997,9,AP-tree + RM rolling TC-aware + stock-level TC,0.03758628244966817,4.1848511635189656e-11,0.18401327894678365,0.00046003319736695914,0.03712624925230121,1.9111112872274094,1.8671773238715483,-0.0371495905894067
