"train_SR","valid_SR","test_SR","portsN","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64"
0.856563378181668,0.385836317156063,0.486964386459338,34,0.222981975634399,0,-0.237271085206568,0,0,0.648214251894454,0.0981076984510781,0,0.312230356616755,0.457253509783096,0,0,0,0,0.153188165669857,-0.114048201011834,-0.329401930542674,-0.423285529829802,-0.551989184884642,-0.527773426734489,0,0,0,-0.550741449310876,0.179100024500392,0.40595911916195,0,0,0,0.18640276559172,0,0,0,0,0.241653056742218,-0.130010157472473,-0.00231410780398679,0.301495366461414,0,0,0,0,0,0,0.0407561110978901,0.124936820835157,0,-0.0701352487951191,-0.0310054644886794,0,0,-0.0436718508468133,0,-0.193544959996735,0.0942177990246113,-0.166107334399197,0,-0.0955912658526932,0.0601456130179652,0,0.226128068573122,0.343318898091356,0.330868433013561,0.0399331630155865
0.865583544028164,0.383286372270213,0.486982067221363,35,0.244221737247713,0,-0.242348774570594,0,0,0.646198495411372,0.0987764875773345,0,0.310931573757359,0.457505951744773,0,0,0,0,0.155419179332094,-0.122069136607862,-0.343134854897562,-0.435837564009137,-0.555014819504966,-0.526444327933263,0,0,0,-0.551951205168601,0.181803795678183,0.417270920078376,0,0,0,0.189967331831274,0,0,0,0,0.246306445988211,-0.131947954381845,-0.0142596773541055,0.316856866057593,0,0,0,0,0,0,0.0505452054011212,0.141939988033262,0.0138794438383909,-0.0971439449070371,-0.0394112410902648,0,0,-0.0428275099630841,0,-0.211611106850167,0.101822826802334,-0.176397023681088,0,-0.130527613503438,0.0642661957636271,0,0.227860412332112,0.35482151200972,0.344925861061135,0.0556065244770309
0.873790006261934,0.380903913646178,0.486752231868283,36,0.262910612889622,0,-0.246800867231629,0,0,0.644957300750304,0.0980242043918722,0,0.309830681340807,0.457925390859705,0,0,0,0,0.157232427014702,-0.12830864292096,-0.354710304572205,-0.446805913386607,-0.559643404755295,-0.525448268859384,0,0,0,-0.552894416149762,0.182131491852094,0.427263554930654,0,0,0,0.193107947877998,0,0,0,0,0.2523612181756,-0.133713808151061,-0.0250029914400998,0.333593641791951,0,0,0,0,0,0,0.058811486115732,0.159564266953163,0.0257542851281124,-0.1203563869229,-0.045765665642557,0,-0.013064186584332,-0.0408034657560115,0,-0.227786939145086,0.109236003360795,-0.184640395982273,0,-0.163667617113527,0.0706361195064782,0,0.229107344656668,0.370401589234855,0.357320948220095,0.0692427595624816
0.874899499509893,0.380511915452094,0.486735873017623,37,0.265080335104017,0,-0.247337338164526,0,0,0.644783803899828,0.0977816608785066,0,0.309544724344829,0.457867704190024,0,0,0,0,0.15754084068176,-0.128967213023801,-0.355932290292653,-0.448152832154933,-0.560155553869553,-0.52494165664543,0,0,0,-0.552985398375663,0.181840820267941,0.427511434039187,0,0,0,0.193141888674062,0,0,0,0,0.253238936578148,-0.133612087597062,-0.0265503026302816,0.335745913647575,0,0,0,0.00426360251490942,0,0,0.0598634089927357,0.161303769415143,0.0262606850809194,-0.123353794716058,-0.0466198466310302,0,-0.0150574807469333,-0.0407206937120271,0,-0.230057822712203,0.110507383487364,-0.185365964712041,0,-0.168747819510506,0.0712792597943668,0,0.229015321311854,0.372067133434606,0.358980198714018,0.0709392704429091
0.891206364180141,0.374383351026641,0.484263858407291,38,0.29964202058292,0,-0.256566030340017,0,0,0.640009061072964,0.0939047896386308,0,0.304083527163433,0.457403591840244,0,0.0106100910616398,0,0,0.16180364734729,-0.140131170341508,-0.377142839337872,-0.470052550181823,-0.56914136475174,-0.517432656403512,0,0,0,-0.55602016314859,0.176365054469722,0.432214062087394,0,0,0,0.193976399876354,0,0,0,0,0.266166865595356,-0.133168105821707,-0.0503873817192303,0.368831001337023,0,0,0,0.0699245237768501,0,0,0.0759867978535258,0.187577996594915,0.0379475479479296,-0.171065145612699,-0.0597153667490338,0,-0.0458432391120624,-0.0388192293024414,0,-0.266463714990532,0.129586854449692,-0.196747392331021,0,-0.247186657323767,0.0820889186037958,0,0.227419022296886,0.400062439295783,0.383845162078035,0.0964336324971729
0.892957533763401,0.373579439153677,0.484140829223626,39,0.304185227850377,0,-0.257285213880807,0,0,0.639213601891847,0.093748605381608,0,0.303730303681941,0.457279375312102,0,0.0119969321122979,-0.00278897040499391,0,0.16243022879304,-0.14128994720571,-0.378846614377446,-0.472356294013927,-0.569789776485245,-0.515992103417797,0,0,0,-0.556197931841593,0.175570653496828,0.43306699126601,0,0,0,0.194152108862273,0,0,0,0,0.267965896662655,-0.133067626502999,-0.0530360858720557,0.372481742360469,0,0,0,0.0764941396006781,0,0,0.0775457276035853,0.190255694350716,0.0388758964646794,-0.17676730602756,-0.0612287128208963,0,-0.049072887108265,-0.0387868501373421,0,-0.270726221163976,0.131528631812805,-0.197970773298057,0,-0.254737749243531,0.082900996470558,0,0.227169727488446,0.403541502416597,0.386138216925742,0.0996688629969458
0.895679579530716,0.372538294089262,0.483806453011378,40,0.311443859620256,0,-0.258909336638101,0,0,0.638393425949954,0.0934869121803321,0,0.303589142287095,0.456965932975506,0,0.0142187854902603,-0.00697924499605242,0,0.163586179076951,-0.14313407568522,-0.382133795724735,-0.475994849714532,-0.570899213208953,-0.513678344484937,0,0,0,-0.556750444802899,0.174025411813627,0.434477325397645,0,0,0,0.19478854504248,0,0,0,0,0.271070278094096,-0.133394118694323,-0.0569496471368908,0.376449901157868,0,0,0.00317349005475333,0.0854550962586518,0,0,0.080111385478801,0.193553567325192,0.040753241468834,-0.185585635259576,-0.0637313973770452,0,-0.0541992608721825,-0.0386707306761322,0,-0.278364069438622,0.134760238923728,-0.199801379130093,0,-0.26642830373057,0.0840380089878108,0,0.226916639826838,0.409409370905266,0.390134972772406,0.10480213648251
0.899619248463978,0.37094458091351,0.483324643720241,41,0.322381739838929,0,-0.26143718642758,0,0,0.636770859376672,0.092955972153375,0,0.303267205890098,0.456569548983267,0,0.0174625583999161,-0.0131908157745246,0,0.165484510764522,-0.145953208201082,-0.387160642792287,-0.481474634118422,-0.572749465805915,-0.51026236484271,0,0,0,-0.557828095617309,0.171521030311684,0.436473585821991,0,0,0.00196596196874763,0.195690012026836,0,0,0,0,0.275706562814669,-0.133954190477576,-0.0628667762698474,0.381934331961034,0,0,0.00781945360604968,0.0986176148959757,0,0,0.0837406019045859,0.19880129983302,0.0435445349301784,-0.198655245635878,-0.067493220962658,0,-0.061733184406586,-0.038696187632052,0,-0.289754662221489,0.139337886220295,-0.202570933319952,0,-0.283366629209282,0.0854810622730616,0,0.22643146471125,0.418311901028897,0.396400974799927,0.112476769200168
0.902665483715196,0.36989749501477,0.483051131991029,42,0.330213034939179,0,-0.263428981098025,0,0,0.635758870186642,0.0928756535578396,0,0.302787634459526,0.456129674697629,0,0.02007981838712,-0.0176631569183936,0,0.166769976354831,-0.147956209457771,-0.390635855405387,-0.485280306388822,-0.573817962712993,-0.507893067360579,0,0,0,-0.559305367179393,0.170079660975226,0.437861931140398,0,0,0.00312278954208998,0.196502863817657,0,0,0,0,0.279504419142408,-0.134715714552134,-0.0678000868995017,0.386348323069607,0,0,0.0112115160599554,0.109045888351758,0,0,0.0863264527790141,0.202821862314776,0.0451016299770137,-0.207133647878783,-0.0703424758900708,0,-0.0671599855340712,-0.0384676854055793,0,-0.297650969498654,0.143897613893701,-0.204214745715195,0,-0.296931931328327,0.0868090061490503,-0.00571345699303349,0.226559113704064,0.425118572344237,0.402425197629825,0.118760102743165
0.904112309062876,0.369403411955263,0.483078422668167,43,0.333958752235578,0,-0.264356039873946,0,0,0.635282111182057,0.0926714512992002,0,0.302352186212804,0.455839572831548,0,0.0213276046534461,-0.0199084648173012,0,0.167497852830322,-0.148735048958739,-0.392067983662422,-0.487068456611078,-0.574549641588576,-0.50694964450159,0,0,0,-0.560037152281988,0.169323661144428,0.438405973322978,0,0,0.00370747790617777,0.196865912282736,0,0,0,0.00206480609191381,0.281305915052761,-0.135311193380144,-0.0701661222023697,0.388272633926766,0,0,0.0128936305463631,0.113978092843565,0,0,0.0874553607134069,0.204475853290361,0.0460190253002483,-0.211451314244214,-0.0718625931747313,0,-0.0697809211853735,-0.0384916603924853,0,-0.301696502568771,0.14620748762537,-0.205217616909498,0,-0.303126089021389,0.087001938817376,-0.0082004094848854,0.226637210937223,0.428185044317253,0.405520729828047,0.121726569667572
