"train_SR","valid_SR","test_SR","portsN","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
0.699399945519295,0.35526289733651,0.4273070840115,19,0,-0.134322163277572,-0.935919355650935,-0.485791167643308,0.344976609243842,0.605081499049398,0,-0.672348822611825,0.809244920812864,0.866552907934733,0,0,0.348681547358506,0.185710524479675,0,0,-0.0411223978150927,0,0,-0.426590888394546,-0.2092088129011,-0.382180031491099,0.290196517150964,-0.281467450673774,0,0,0,0,0.240168690637038,0.505185656531068,0.373152217261164,0
0.700308088796872,0.3554144177582,0.427317586619878,20,0,-0.137810750344416,-0.938013278518507,-0.485881875288682,0.349099419585064,0.608020986491364,0.00312209078713141,-0.674994557103944,0.809166888640718,0.865782088541422,0,0,0.35134819319058,0.185853545244773,0,0,-0.0436332314410614,0,0,-0.42832251180425,-0.211626107658563,-0.386591360932355,0.29381753639767,-0.283151948489197,0,0,0,0,0.240578578624983,0.506638723925582,0.376597570151687,0
0.700991955007108,0.355726556244485,0.42751992177908,21,0,-0.139878458526033,-0.93887484266422,-0.484901545124243,0.351806318505099,0.610189720704117,0.00558951796873204,-0.676265903876064,0.80901420396092,0.865181914309516,0,0,0.353055763173496,0.186119283550673,0,-0.00327094888923167,-0.0453969130230124,0,0,-0.429098382549013,-0.213255060101797,-0.39001749909687,0.29644852569678,-0.283710152208628,0,0,0,0,0.240863864934501,0.507601149541777,0.378799443713502,0
0.714413198687883,0.364337659022945,0.432496870147285,22,0,-0.184570758561755,-0.954888722843615,-0.462885273450462,0.401201854227174,0.646994311923597,0.0534395823453929,-0.707874474488625,0.804071877260942,0.839108740380886,0.0513844632568015,0,0.392025714490164,0.187961004101374,0,-0.0802216345664535,-0.0790555996823594,0,0,-0.443418388697928,-0.242152416498174,-0.469620138374759,0.353985293292834,-0.299463238786217,0,0,0,0,0.243455459457776,0.53343377871453,0.417088566498878,0
0.717934453035456,0.366796341016157,0.43391288701541,23,0,-0.197244206582074,-0.959035456413795,-0.456628659661649,0.41420118240442,0.657367651548051,0.0667892162468718,-0.717383561558541,0.802107456197284,0.831673771869698,0.0680681099047597,0,0.403648807835113,0.188421283381061,0,-0.100764558752084,-0.0881292100776091,0,0,-0.446737965747727,-0.250229219735592,-0.49217940100438,0.372716897727435,-0.302997354772922,0,0,0,-0.0106800475066457,0.244421019833926,0.541224336760616,0.431369908103782,0
0.722142094605558,0.368360595047065,0.435329891432636,24,0,-0.211866955049147,-0.969861980714793,-0.45521528777603,0.42760462386836,0.670985291697126,0.08119215245461,-0.729685458624969,0.805357740545993,0.831522380314254,0.0850315520939145,0,0.415842708501803,0.190925760579175,0,-0.119874472598964,-0.096794788246177,0,0,-0.451133359531459,-0.256402896137775,-0.513448667424645,0.396524011690746,-0.307444273249569,0,-0.029456507752824,0,-0.0231672926022133,0.249551813405079,0.559587901712427,0.450226002845078,0
0.729252827045486,0.368377536941234,0.437325604120683,25,0,-0.236394688434451,-0.98836065542832,-0.455446451414829,0.452247482315642,0.690830060832493,0.100593089424997,-0.749221534253795,0.812841645254843,0.830981472463813,0.11280843575138,0,0.439335730003582,0.195447728380564,0,-0.147456017539435,-0.118909036608372,0.0323145749578918,0,-0.467695654167046,-0.26747441882441,-0.553430246250074,0.435180497547136,-0.316675105021273,0,-0.0859431139445001,0,-0.0504483630844192,0.258385467113153,0.586105924455393,0.490383176470037,0
0.736075586732642,0.367554641488829,0.438721012828483,26,0,-0.266257385348697,-1.00832751708383,-0.454675611631987,0.483843128456538,0.711680323792894,0.121353156983924,-0.771056108572299,0.820636831481134,0.827843734686547,0.143777620483,0,0.464899897595618,0.199712980683066,0,-0.176822898378061,-0.142907927260492,0.0672600045976935,0,-0.486902967997074,-0.281019054947922,-0.59649004755863,0.472822091094127,-0.326135917241671,0,-0.153481333243616,0.0237114967991104,-0.083875202058732,0.267233681772261,0.611723377849138,0.531453645047958,0
0.741135833039478,0.367392282644167,0.440544584126592,27,0,-0.294020469179735,-1.02170188997217,-0.452519700323679,0.513808566823378,0.731447726614501,0.140111179977084,-0.792995226111205,0.825647771654812,0.823269529738585,0.173066465875797,0,0.484676201668025,0.205259051749589,0,-0.209661714489699,-0.164940221369993,0.0952472742239873,0,-0.50223184998566,-0.291789866748111,-0.633730525308141,0.506399137416424,-0.338853488479867,0,-0.21013306168212,0.038676662247717,-0.116186484708088,0.275492868773607,0.63222219667517,0.555288085288804,0.028151779630987
0.747356287884309,0.362369565582232,0.441876388232739,28,0,-0.339511325327921,-1.03892282813422,-0.44929346533424,0.566669689391225,0.756780379511203,0.168256263237533,-0.820982939513493,0.835464637508349,0.815539197650227,0.21610582186519,0,0.516420409360497,0.208635235713197,0,-0.260585223963802,-0.19810610052362,0.144892355162459,0,-0.527697816885838,-0.305643551377994,-0.680295649476529,0.561902812879363,-0.360273927929604,-0.0399670547367418,-0.290083836933213,0.0681443006840447,-0.165625033053814,0.289510721789121,0.663941826426263,0.597238020092642,0.0674870819197216
0.74852980391917,0.361328427271036,0.441565512712818,29,-0.00936067747625203,-0.348355320728067,-1.04191000457374,-0.446768023489118,0.581219368287752,0.7625679876833,0.175911932588004,-0.827184487182968,0.838263650111286,0.813928054748561,0.225565986420002,0,0.524629653201711,0.210051296450576,0,-0.271605025045693,-0.204784632467348,0.156679672818967,0,-0.534057722290162,-0.308888362554663,-0.691941758190294,0.57388454282916,-0.365468121184643,-0.0492330305543556,-0.309900971327588,0.0750600307202911,-0.177742888000679,0.293286229432645,0.671960694102497,0.607317969304455,0.0768739563663587
0.751685186675121,0.356777776231095,0.440181644382449,30,-0.0384850512966213,-0.374458696713751,-1.05448880792274,-0.438525441375996,0.625382886598666,0.786689379217676,0.198744179041922,-0.847512349175845,0.843004862906454,0.813635253374023,0.254104859396181,0,0.551530049781597,0.214080972122245,0,-0.302837074908109,-0.225522467453765,0.209858320229478,-0.0345313143576405,-0.552398555316169,-0.323615565443264,-0.730431753795603,0.615734099850423,-0.382105369686476,-0.0814691698058186,-0.376213423882869,0.104204366222397,-0.21285744765389,0.304200402878731,0.708652284631682,0.640607242097895,0.105023330439184
0.752741625062209,0.354132314594101,0.43943772546624,31,-0.0519534143955079,-0.384212136278625,-1.06268743542728,-0.436414176335453,0.646142075861698,0.801410138782035,0.209161122404665,-0.850831189150296,0.848385506763599,0.814020917604046,0.272821755973847,0,0.566556551708875,0.217494349379848,-0.0332236230837396,-0.309457752183054,-0.23229501390117,0.238758708215696,-0.0544674187440792,-0.560143224917789,-0.330020755125182,-0.751051795779769,0.632917850594573,-0.389456480827245,-0.096709000895375,-0.407647666526364,0.125365125657014,-0.233417754716869,0.309703486527828,0.723101514150771,0.660908508423234,0.117241226240073
0.753122870156461,0.351829363527683,0.439135620864369,32,-0.0599245923387062,-0.390142668220285,-1.06746204741485,-0.432544297937493,0.658276061139175,0.811767008788789,0.215984499308606,-0.847212636629304,0.85149374840956,0.813244736828135,0.286422247803232,-0.0180368635497167,0.576509454475814,0.216937479797842,-0.0515786399474049,-0.307705645615265,-0.236395942241913,0.257451602334058,-0.0677353623349741,-0.564912739371816,-0.335235869252272,-0.760393385988707,0.641554979843345,-0.393161516257168,-0.106403342865893,-0.428325109851176,0.137746161132917,-0.242956002654711,0.313651888013011,0.730532037120766,0.673233980657571,0.125320776818832
