"train_SR","test_SR","portsN","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
0.605517700961762,0.498528511941735,20,0,-0.113477461548658,-0.456232078066168,-0.449319225101137,0.0326257799247242,0.820582059053582,0.255857019081956,-0.957662968320094,0.475728013534107,0.770454932952683,0.311533581352779,0,0.109490677982654,0.458553069542168,0,-0.513360652498373,0,0,0,-0.130013520959479,0,-0.407834390315751,0.0982767423158658,-0.152041922683035,0.187727690002327,0,0,0,0.311883405936091,0.347229247813756,0,0
0.618782392834133,0.494333119243158,21,-0.0825841037734524,-0.163773379721589,-0.476314307663337,-0.420261130385328,0.0983248322284911,0.843406474489996,0.306704829038172,-0.979657521937972,0.480257425631036,0.751222468748501,0.34767906979478,0,0.151539496026499,0.469341466178472,0,-0.557203490716575,0,0,0,-0.149509238178638,0,-0.499532971909532,0.160027808307059,-0.170838180125057,0.209574577160778,0,0,0,0.308081382544451,0.373514494263245,0,0
0.631463951305575,0.494051897213361,22,-0.162380300987958,-0.221306257357169,-0.492216232637675,-0.386832427032232,0.183562430085308,0.868753401416024,0.361327135921519,-1.01072488984252,0.480160733930508,0.724834352333363,0.386256756400716,0,0.19299320072848,0.476131605922148,0,-0.619989203415165,0,0,0,-0.177002474176594,0,-0.598406708336651,0.210833819106496,-0.20956469167331,0.235529423293049,0,0,0,0.300879258275482,0.384963693027053,0,0.0721973750191273
0.634105163372142,0.493809492189567,23,-0.179942865387551,-0.234491243683138,-0.496176907245929,-0.380114065191963,0.204169660378479,0.875681791801631,0.374375505420436,-1.01859416165752,0.479074020244321,0.718597299443988,0.394118154882572,0,0.202916351122069,0.478113760930042,0,-0.634592721490156,0,-0.0114343324873141,0,-0.180452182079751,0,-0.618286552697539,0.223697752031781,-0.217304062700547,0.243665763637728,0,0,0,0.299344202083981,0.387664918105477,0,0.0899699145389025
0.635039780945391,0.493765631570166,24,-0.186226228838073,-0.23913268076545,-0.497318117154633,-0.377902830854348,0.211272349297313,0.877961712974497,0.378735094627797,-1.02129933883077,0.47858029471241,0.716255313326569,0.397279282678008,0,0.206258756238284,0.478984918757277,0,-0.639214672263917,0,-0.0152314403923406,0,-0.181280376927166,0,-0.624833822394671,0.228816710239758,-0.219511221389621,0.246667721727211,0,0,-0.00404846706982552,0.298944626142391,0.388536461808931,0,0.0977059543503723
0.639997909772273,0.492117588338436,25,-0.22021558520173,-0.264681488561844,-0.503969110766907,-0.367287593880918,0.251104660240141,0.89228299955897,0.403445187624276,-1.03747435583388,0.476903529320285,0.704643613313417,0.412535718940439,0,0.22532226030951,0.48601999645687,0,-0.664770007547273,0,-0.0350140544022794,0,-0.18504319778473,-0.0200152929459656,-0.65591532734195,0.256725134000955,-0.229818933828303,0.265552336081701,0,0,-0.0240421785299167,0.298939513512228,0.393959308198297,0,0.140812869068614
0.645431828119147,0.489007375747493,26,-0.265727897738047,-0.29921132140832,-0.51271107642387,-0.353613859102569,0.305450853844988,0.91060561108061,0.436786783628351,-1.05853879478613,0.474345581150164,0.687975606619557,0.431794974135036,0,0.25163648536501,0.494578098617996,0,-0.696546393460531,0,-0.0608161650376026,0,-0.190790253140252,-0.0472772710581421,-0.697018549146157,0.292664325062411,-0.243253452004397,0.290089528711325,0,0,-0.0534933502104812,0.298083289410974,0.400015618759146,0.0106319357538649,0.194339691377061
0.647944786805613,0.486603620556438,27,-0.292114360243869,-0.31931336050237,-0.518041991435984,-0.34456006204318,0.338925813328812,0.919486714066537,0.455103121220867,-1.06911054017368,0.472429920349702,0.676748855147326,0.442477102011996,0,0.266754153323011,0.498024442032021,0,-0.712972875734047,0,-0.0775331385868546,0,-0.193846129992335,-0.0648609268354127,-0.719001785552336,0.309497817674328,-0.251316266359623,0.303466945860349,0,0.016141296438483,-0.0727536880605381,0.297024048692956,0.401952752694285,0.0138547507589163,0.223537391920638
0.651429581639735,0.480769884835273,28,-0.330239544167415,-0.348737255262045,-0.524872872877218,-0.338071941200304,0.384385443633286,0.931621437099277,0.477278126080717,-1.09732131681051,0.468495276401681,0.663537162697105,0.452127436841606,0.0487166675980861,0.287050628911659,0.507138422097759,0,-0.756020620223945,0,-0.101944321648406,0,-0.196978985353913,-0.0876641576037801,-0.757089476282209,0.33768108073701,-0.265085626634278,0.325288016618751,0,0.0396807901304224,-0.10395285441581,0.29467333072506,0.410345554891528,0.0193635536676735,0.260596044348211
0.651957489375011,0.479788595007835,29,-0.338121534884087,-0.353550703749976,-0.526218679511788,-0.33704635982735,0.391226260729638,0.934137100548377,0.481379693373823,-1.10202522023707,0.468031734450378,0.662111847838782,0.454116015143291,0.0563138743478977,0.290155430157699,0.508578659834664,0,-0.762513458964261,0.00533371108836833,-0.107185010195347,0,-0.198219955001781,-0.0922776202605137,-0.763981821459641,0.341947552104234,-0.267309315696725,0.328286322131608,0,0.0434787849614158,-0.109127490722188,0.294431440138522,0.411785844721027,0.0204122382040604,0.265850660736942
0.652472468228381,0.478872157778748,30,-0.345915026008031,-0.357821433457673,-0.527966926157403,-0.336636044570357,0.398159492271869,0.937189935983227,0.485442510057989,-1.10490447577648,0.467972831847413,0.660967081317917,0.457544009371841,0.0644992455959462,0.29393694335114,0.510646474623641,-0.00875860648418815,-0.766858052759428,0.010644674778084,-0.111734749902878,0,-0.199266085402083,-0.0966260786118648,-0.770781535560084,0.34518679585153,-0.269454895902773,0.33136876225697,0,0.0477863929978468,-0.115184626436104,0.294505838270381,0.413195304536736,0.0217680350682696,0.27109420884855
0.653542752793706,0.476408459171001,31,-0.36585656375169,-0.367788978286021,-0.531594963344394,-0.334207156896302,0.416137830277686,0.943124002555187,0.494563638313801,-1.1106632323101,0.466709667699573,0.655990299462355,0.466297899945777,0.0880724340306511,0.304211968277511,0.514186574933219,-0.033378183010052,-0.777608711458874,0.0254457531242797,-0.125259335608836,0,-0.201327611066009,-0.109125474956022,-0.788523088870495,0.352309337008213,-0.275652237821652,0.337312451740064,0.0138425887196761,0.0576686152729403,-0.13173605554534,0.29276131974994,0.415023198683605,0.0248965617038075,0.284167451427498
0.654749040665059,0.472187590329523,32,-0.396327342443238,-0.383883497492243,-0.536349439385548,-0.330126515960605,0.443375384202713,0.950525882383398,0.508946036257038,-1.1194603988297,0.465019458614479,0.646001780389044,0.479206437220608,0.122943866475217,0.320679977118533,0.519783821642473,-0.0677667585696486,-0.795155325978309,0.0482138941838711,-0.151152528321457,0.015713538585757,-0.207004787112108,-0.127380637799455,-0.817105445541263,0.361247891861915,-0.284863765750003,0.34667971351446,0.0347045197173214,0.0707338000770602,-0.156930805929925,0.291020403960389,0.415921127586933,0.0297118568770604,0.303077858445236
