date,date_dt,yy,mm,method,gross_ret,turnover_raw,turnover,turnover_portfolio,turnover_stock,cost,net_ret,wealth_gross,wealth_net,drawdown_net
20100430,2011-04-30,2011,4,AP-Trees static + stock-level TC (lagged trade),0.13736588266700173,0.0,0.2269636084673218,0.0,0.2269636084673218,0.0005674090211683045,0.13679847364583342,23.371671205608067,19.576075735934467,0.0
20100528,2011-05-31,2011,5,AP-Trees static + stock-level TC (lagged trade),-0.07828830953481893,0.0,0.3067001205873906,0.0,0.3067001205873906,0.0007667503014684766,-0.0790550598362874,21.541942575917407,18.028487897270473,-0.07905505983628747
20100630,2011-06-30,2011,6,AP-Trees static + stock-level TC (lagged trade),-0.08434761326997214,0.0,0.3756015732131397,0.0,0.3756015732131397,0.0009390039330328492,-0.085286617203005,19.72493113443998,16.49089915122696,-0.15759933841307427
20100730,2011-07-31,2011,7,AP-Trees static + stock-level TC (lagged trade),0.03355942546547937,0.0,0.2664148864267018,0.0,0.2664148864267018,0.0006660372160667545,0.03289338824941261,20.386888490657935,17.033340699590177,-0.12988992638993346
20100831,2011-08-31,2011,8,AP-Trees static + stock-level TC (lagged trade),-0.05170871777453133,0.0,0.3250788344298535,0.0,0.3250788344298535,0.0008126970860746338,-0.052521414860605964,19.33270862739366,16.13872554624496,-0.17558933854040004
20100930,2011-09-30,2011,9,AP-Trees static + stock-level TC (lagged trade),0.08016898607867225,0.0,0.24549915127776328,0.0,0.24549915127776328,0.0006137478781944082,0.07955523820047784,20.88259227620621,17.422645701328612,-0.11000315199296817
20101029,2011-10-31,2011,10,AP-Trees static + stock-level TC (lagged trade),0.04709884297920835,0.0,0.294710330693014,0.0,0.294710330693014,0.000736775826732535,0.04636206715247582,21.866138210822076,18.230395571307405,-0.06874105836017419
20101130,2011-11-30,2011,11,AP-Trees static + stock-level TC (lagged trade),0.005613297579606605,0.0,0.2772184283456283,0.0,0.2772184283456283,0.0006930460708640708,0.004920251508742534,21.98887935151623,18.320093702622103,-0.06415903014754087
20101231,2011-12-31,2011,12,AP-Trees static + stock-level TC (lagged trade),0.08014630091398156,0.0,0.2952699762893213,0.0,0.2952699762893213,0.0007381749407233033,0.07940812597325826,23.751206692784084,19.77485801120181,0.0
20110131,2012-01-31,2012,1,AP-Trees static + stock-level TC (lagged trade),0.07375768977098017,0.0,0.29482199845495816,0.0,0.29482199845495816,0.0007370549961373955,0.07302063477484277,25.50304082771688,21.21883069576215,0.0
