date,date_dt,yy,mm,method,gross_ret,turnover_raw,turnover,turnover_portfolio,turnover_stock,cost,net_ret,wealth_gross,wealth_net,drawdown_net
19930930,1994-09-30,1994,9,AP-Trees rolling TC-aware (portfolio-level TC),0.016832189183005296,2.5661839649047946e-06,2.5661839649047946e-06,2.5661839649047946e-06,,6.4154599122619865e-09,0.016832182767545383,1.1963882812689604,1.1963882031765465,0.0
19931029,1994-10-31,1994,10,AP-Trees rolling TC-aware (portfolio-level TC),0.03644266828441212,2.162608566176616e-06,2.162608566176616e-06,2.162608566176616e-06,,5.40652141544154e-09,0.036442662877890705,1.239987862542603,1.2399877751359947,0.0
19931130,1994-11-30,1994,11,AP-Trees rolling TC-aware (portfolio-level TC),-0.019826612004065262,1.7886986492104961e-06,1.7886986492104961e-06,1.7886986492104961e-06,,4.4717466230262405e-09,-0.019826616475811885,1.2154031043022206,1.2154030130836782,-0.019826616475811742
19931231,1994-12-31,1994,12,AP-Trees rolling TC-aware (portfolio-level TC),0.00971114298793412,2.0469409019799323e-06,2.0469409019799323e-06,2.0469409019799323e-06,,5.117352254949831e-09,0.009711137870581865,1.2272060576360786,1.2272059593120543,-0.010308017611333709
19940131,1995-01-31,1995,1,AP-Trees rolling TC-aware (portfolio-level TC),0.049772559125232194,1.9453077093091464e-06,1.9453077093091464e-06,1.9453077093091464e-06,,4.863269273272866e-09,0.04977255426196292,1.2882872436986135,1.2882871345125178,0.0
19940228,1995-02-28,1995,2,AP-Trees rolling TC-aware (portfolio-level TC),-0.01428398202668321,2.028435161324782e-06,2.028435161324782e-06,2.028435161324782e-06,,5.071087903311955e-09,-0.014283987097771114,1.2698853718644172,1.2698852577049164,-0.014283987097771123
19940331,1995-03-31,1995,3,AP-Trees rolling TC-aware (portfolio-level TC),-0.048085396835769456,2.2237268261851573e-06,2.2237268261851573e-06,2.2237268261851573e-06,,5.559317065462893e-09,-0.04808540239508652,1.208822429822378,1.2088223140925873,-0.06168253822545511
19940429,1995-04-30,1995,4,AP-Trees rolling TC-aware (portfolio-level TC),-0.013440747732615072,2.534788056840487e-06,2.534788056840487e-06,2.534788056840487e-06,,6.336970142101217e-09,-0.013440754069585214,1.1925749524896085,1.1925748306550419,-0.07429423246836431
19940531,1995-05-31,1995,5,AP-Trees rolling TC-aware (portfolio-level TC),0.004674546574171086,2.5995792765701187e-06,2.5995792765701187e-06,2.5995792765701187e-06,,6.498948191425297e-09,0.004674540075222894,1.198149699648211,1.198149569493641,-0.06996698376017263
19940630,1995-06-30,1995,6,AP-Trees rolling TC-aware (portfolio-level TC),-0.036287939044437806,3.012735991656662e-06,3.012735991656662e-06,3.012735991656662e-06,,7.531839979141656e-09,-0.036287946576277784,1.1546713163812652,1.1546711819254656,-0.10371597216765804
19940729,1995-07-31,1995,7,AP-Trees rolling TC-aware (portfolio-level TC),0.019762719978424916,3.0777840591585115e-06,3.0777840591585115e-06,3.0777840591585115e-06,,7.694460147896279e-09,0.019762712283964767,1.1774907622740274,1.177490616276444,-0.08600296880089442
19940831,1995-08-31,1995,8,AP-Trees rolling TC-aware (portfolio-level TC),0.03912377104678713,2.9221992079130066e-06,2.9221992079130066e-06,2.9221992079130066e-06,,7.305498019782516e-09,0.03912376374128911,1.2235586412669432,1.2235584809552285,-0.05024396489202099
19940930,1995-09-30,1995,9,AP-Trees rolling TC-aware (portfolio-level TC),-0.0015600205311969706,2.986359921554327e-06,2.986359921554327e-06,2.986359921554327e-06,,7.465899803885817e-09,-0.0015600279970967746,1.2216498646654435,1.2216496954688532,-0.05172561089720107
19941031,1995-10-31,1995,10,AP-Trees rolling TC-aware (portfolio-level TC),-0.0017722091331984061,2.862937338924537e-06,2.862937338924537e-06,2.862937338924537e-06,,7.157343347311343e-09,-0.0017722162905417535,1.2194848456177128,1.2194846679772078,-0.05340615821747263
19941130,1995-11-30,1995,11,AP-Trees rolling TC-aware (portfolio-level TC),-0.04161832369280414,3.1017970631187775e-06,3.1017970631187775e-06,3.1017970631187775e-06,,7.754492657796943e-09,-0.0416183314472968,1.1687319305743256,1.1687317508704358,-0.09280181447074776
19941230,1995-12-31,1995,12,AP-Trees rolling TC-aware (portfolio-level TC),-0.017475531167273486,3.2073439199982456e-06,3.2073439199982456e-06,3.2073439199982456e-06,,8.018359799995614e-09,-0.017475539185633285,1.148307719295386,1.1483075333606056,-0.10865559191109964
