Date,Mkt-RF,LME,BEME,OP,Investment,r12_2,ST_REV,LT_REV,AC,IdioVol,Lturnover,rf
197103,0.0413,0.023638697,0.026740887,-0.022400846,-0.01954532,0.009993011,0.00729044,-0.012587723,-0.001791863,-0.011259832,-0.040500233,0.003
197104,0.0315,-0.011086083,-0.011800201,0.002694476,0.00197542,-0.008484907,0.013988817,0.020504187,-0.008341285,-0.005231619,0.000456179,0.0028
197105,-0.0398,-0.023384122,0.007414805,-0.014859003,0.004308497,-0.002591966,0.008348009,-0.005230525,0.006043317,0.022514285,0.010036793,0.0029
197106,-0.001,-0.029770863,0.001935418,-0.005684509,-0.006989033,-0.022532727,-0.008313537,-0.010308689,-0.001225731,0.037542678,0.00120094,0.0037
197107,-0.045,-0.023708456,-0.010499117,0.009874428,0.012592494,0.021537908,0.007517658,-0.023331467,-0.01007252,0.055033594,0.053366648,0.004
197108,0.0379,-0.000245567,-0.014273031,-0.006599595,0.01830062,-0.038318157,0.047304079,0.022135074,0.005100145,-0.000657858,-0.024375342,0.0047
197109,-0.0085,0.004328208,0.023248163,-0.021386387,-0.012764959,-0.031345218,0.002864414,-0.019837408,-0.012420242,0.010952196,-0.005047192,0.0037
197110,-0.0442,-0.02635712,0.001844693,-0.019710311,-0.00867477,-0.006340573,-0.009708717,-0.007822802,-0.007102092,0.039575373,0.025695393,0.0037
197111,-0.0046,-0.038005499,0.015112711,-0.018304876,0.001274413,-0.006341333,-0.00411316,-0.002538162,0.002120044,0.012343257,-0.002384569,0.0037
197112,0.0871,0.038264915,-0.00072723,-0.00574999,-0.021513507,0.011831608,0.040764231,-0.003206236,-0.004107558,-0.044517742,-0.027283235,0.0037
197201,0.0249,0.096387121,-0.012541908,0.027250814,0.019878427,0.008577326,0.006308456,0.040507539,0.025289721,-0.060937577,-0.037227089,0.0029
197202,0.0287,0.018263933,0.01469678,-0.004488853,-0.005768996,-0.025806968,0.00452062,-0.00357487,-0.011532793,-0.014556582,-0.003599599,0.0025
197203,0.0063,-0.009722338,0.02038271,-0.004611149,0.006803449,-0.029579051,0.016363819,-0.016528462,0.007997785,0.02230593,0.012990585,0.0027
197204,0.0029,-0.004834163,-0.014112645,0.007358439,-0.004232888,-0.02663795,-0.00197812,0.006833424,0.007703941,0.018722876,-0.002280565,0.0029
197205,0.0125,-0.045116726,0.01210975,-0.01256111,-0.014384946,-0.027648238,-0.012610855,-0.009751898,0.003101438,0.025161597,0.009123552,0.003
197206,-0.0243,-0.0064213,0.014560649,-0.000888185,-0.00671319,-0.016252146,-0.012512804,-0.011116418,-0.001146794,0.025352558,0.023382547,0.0029
197207,-0.008,-0.033531189,-0.00646266,0.005003698,-0.010451145,-0.023037513,-0.021703981,-0.003730949,0.02289609,0.044027014,0.038286743,0.0031
197208,0.0326,-0.050933191,-0.044271557,0.025235643,0.033128616,0.042087879,0.00754654,0.024885068,-0.008068778,0.027820458,0.01052346,0.0029
197209,-0.0114,-0.035477903,-0.004781016,-0.008603355,-0.008988848,-0.017407491,0.011185166,-0.0167744,0.006661405,0.034084545,0.014403011,0.0034
197210,0.0052,-0.035454312,-0.008851572,-0.0110926,0.003235756,-0.001254132,-0.001668485,-0.010671865,-0.010128168,0.04101995,0.002565762,0.004
197211,0.046,-0.017913412,-0.051966538,0.013512196,0.028121374,0.039986576,0.033215734,0.013378619,-0.019025017,-0.009235651,-0.013196106,0.0037
197212,0.0062,-0.029152797,0.013402707,-0.002463197,-0.011279785,-0.051858547,0.04223452,-0.026817646,0.011621172,0.022802727,0.012391848,0.0037
197301,-0.0329,-0.018062624,-0.02589631,0.015060682,0.009377767,-0.039251619,-0.014337303,-0.004650418,0.028482332,0.06711882,0.068938575,0.0044
197302,-0.0485,-0.043395153,-0.019979706,-0.001417454,-0.000918739,-0.030251042,-0.016403188,-0.006785382,0.015025027,0.056357176,0.04886047,0.0041
197303,-0.0129,-0.033761199,-0.030516594,0.015179578,0.002884472,-0.035000493,0.018619636,-0.003321853,0.013003459,0.02069328,-0.003121444,0.0046
197304,-0.0568,-0.042614619,-0.054969778,0.027166505,0.029454968,-0.067852214,-0.005385656,0.019694788,0.02056262,0.062039905,0.047979551,0.0052
197305,-0.0294,-0.074998004,-0.005616839,-0.009400238,-0.012383147,-0.06786669,-0.00464878,-0.036499399,0.001853796,0.06561779,0.017281732,0.0051
197306,-0.0156,-0.026745678,-0.008412395,0.010808636,0.004311937,-0.04505574,0.005956836,0.000471994,0.001505192,0.013163634,0.017687667,0.0051
197307,0.0504,0.096401529,0.04608814,-0.007305386,-0.046671328,0.109711658,0.10509832,0.037209136,-0.032120799,-0.10649187,-0.085259119,0.0064
197308,-0.0384,-0.030540661,-0.011416225,0.017214532,0.027200302,-0.036935036,0.034792577,0.0155305,0.000806916,0.03136631,-0.008477243,0.007
197309,0.0475,0.02429964,0.003166643,0.011993162,0.005375534,0.067561968,0.030220014,0.036976695,0.00659644,-0.046138092,-0.052848383,0.0068
197310,-0.0086,0.001767583,-0.0165411,0.023665159,0.024922234,-0.070523233,0.040928639,0.013940751,0.00780018,0.041472729,0.009268447,0.0065
197311,-0.1274,-0.084749567,-0.030189377,0.022227258,0.024203019,-0.093638549,-0.03284988,-0.055111364,0.023763522,0.075277167,0.043549894,0.0056
197312,0.0058,-0.081815247,-0.034738501,0.017318808,0.02949611,-0.076645402,0.012136673,-0.012414546,0.023623602,0.022276556,-0.01860514,0.0064
197401,-0.0017,0.156484736,-0.044803211,0.03386061,0.030365635,0.110974169,0.109161473,0.111828282,-0.001693142,-0.083694324,-0.038645494,0.0063
197402,-0.0048,-0.007949112,-0.029878507,0.014311625,0.023921174,-0.015855102,0.018113819,0.024810532,0.018296868,0.011558303,0.006435963,0.0058
197403,-0.0281,0.041910806,-0.004837907,-0.021203828,0.004213974,0.013251032,0.037459865,-0.001539545,-0.003256595,-0.002220343,0.026589814,0.0056
197404,-0.0529,-0.007353197,-0.007888764,-0.012957769,0.019094895,-0.032953199,-0.003220645,0.000505864,-0.018430777,0.033585008,0.015495363,0.0075
197405,-0.0467,-0.025511449,0.006576142,-0.040270646,-0.009651501,-0.015406691,-0.020603282,-0.041132109,-0.007302636,0.036432777,0.032068278,0.0075
197406,-0.0283,-0.007716258,-0.00843086,-0.009337114,0.028578385,-0.01996958,-0.00595754,-0.016180453,-0.000802208,0.028262217,0.01334826,0.006
