date_dt,yy,mm,candidate,weight
2014-05-31,2014,5,port_V32,0.03125001227009901
2014-06-30,2014,6,port_V1,0.031249942598177823
2014-06-30,2014,6,port_V2,0.031249992559707698
2014-06-30,2014,6,port_V3,0.03125000015350231
2014-06-30,2014,6,port_V4,0.0312499551815352
2014-06-30,2014,6,port_V5,0.03124998275334709
2014-06-30,2014,6,port_V6,0.03124999583106917
2014-06-30,2014,6,port_V7,0.031249992117199827
2014-06-30,2014,6,port_V8,0.031249962286166832
2014-06-30,2014,6,port_V9,0.031249991535921846
2014-06-30,2014,6,port_V10,0.031250002615573334
2014-06-30,2014,6,port_V11,0.03124999412094405
2014-06-30,2014,6,port_V12,0.03124997085239852
2014-06-30,2014,6,port_V13,0.031249969088211756
2014-06-30,2014,6,port_V14,0.031249995921664723
2014-06-30,2014,6,port_V15,0.03124998696915299
2014-06-30,2014,6,port_V16,0.031249966783933946
2014-06-30,2014,6,port_V17,0.03124997838676768
2014-06-30,2014,6,port_V18,0.03125001620880527
2014-06-30,2014,6,port_V19,0.03125002229459072
2014-06-30,2014,6,port_V20,0.031249995505148873
2014-06-30,2014,6,port_V21,0.03125000950304192
2014-06-30,2014,6,port_V22,0.03125003027156138
2014-06-30,2014,6,port_V23,0.03125001687778719
2014-06-30,2014,6,port_V24,0.031249999807602142
2014-06-30,2014,6,port_V25,0.03125002909429487
2014-06-30,2014,6,port_V26,0.03125002908316061
2014-06-30,2014,6,port_V27,0.03125003421790143
2014-06-30,2014,6,port_V28,0.0312500102313023
2014-06-30,2014,6,port_V29,0.03125003407101048
2014-06-30,2014,6,port_V30,0.03125004271932282
2014-06-30,2014,6,port_V31,0.031250038086697546
2014-06-30,2014,6,port_V32,0.03125001227249762
2014-07-31,2014,7,port_V1,0.031249942595201495
2014-07-31,2014,7,port_V2,0.031249992559592626
2014-07-31,2014,7,port_V3,0.03125000015400829
2014-07-31,2014,7,port_V4,0.031249955180352736
2014-07-31,2014,7,port_V5,0.03124998275142723
2014-07-31,2014,7,port_V6,0.03124999583099716
2014-07-31,2014,7,port_V7,0.031249992117699077
2014-07-31,2014,7,port_V8,0.031249962284525312
2014-07-31,2014,7,port_V9,0.03124999153347542
2014-07-31,2014,7,port_V10,0.03125000261479422
2014-07-31,2014,7,port_V11,0.03124999412095372
2014-07-31,2014,7,port_V12,0.03124997085128535
2014-07-31,2014,7,port_V13,0.03124996908495939
2014-07-31,2014,7,port_V14,0.031249995920263108
2014-07-31,2014,7,port_V15,0.031249986968354414
2014-07-31,2014,7,port_V16,0.03124996678077826
2014-07-31,2014,7,port_V17,0.031249978385403946
2014-07-31,2014,7,port_V18,0.03125001620965573
2014-07-31,2014,7,port_V19,0.03125002229293715
2014-07-31,2014,7,port_V20,0.031249995504528144
2014-07-31,2014,7,port_V21,0.031250009502311306
2014-07-31,2014,7,port_V22,0.031250030272646896
2014-07-31,2014,7,port_V23,0.03125001687811229
2014-07-31,2014,7,port_V24,0.031249999809124483
2014-07-31,2014,7,port_V25,0.03125002909570194
2014-07-31,2014,7,port_V26,0.03125002908479977
2014-07-31,2014,7,port_V27,0.03125003422051196
2014-07-31,2014,7,port_V28,0.03125001023306666
2014-07-31,2014,7,port_V29,0.03125003407347064
2014-07-31,2014,7,port_V30,0.03125004272364261
2014-07-31,2014,7,port_V31,0.031250038090661444
2014-07-31,2014,7,port_V32,0.03125001227475721
2014-08-31,2014,8,port_V1,0.031249942592406606
2014-08-31,2014,8,port_V2,0.031249992559488248
2014-08-31,2014,8,port_V3,0.03125000015443712
2014-08-31,2014,8,port_V4,0.031249955179153077
2014-08-31,2014,8,port_V5,0.031249982749730617
2014-08-31,2014,8,port_V6,0.031249995830964328
2014-08-31,2014,8,port_V7,0.03124999211818594
2014-08-31,2014,8,port_V8,0.031249962282997406
2014-08-31,2014,8,port_V9,0.031249991531169467
2014-08-31,2014,8,port_V10,0.031250002614038215
2014-08-31,2014,8,port_V11,0.03124999412103263
2014-08-31,2014,8,port_V12,0.031249970850276695
2014-08-31,2014,8,port_V13,0.031249969081817618
2014-08-31,2014,8,port_V14,0.031249995918933907
2014-08-31,2014,8,port_V15,0.031249986967569483
2014-08-31,2014,8,port_V16,0.0312499667777785
2014-08-31,2014,8,port_V17,0.03124997838407269
2014-08-31,2014,8,port_V18,0.03125001621042615
2014-08-31,2014,8,port_V19,0.031250022291380825
2014-08-31,2014,8,port_V20,0.031249995503926216
2014-08-31,2014,8,port_V21,0.03125000950161856
2014-08-31,2014,8,port_V22,0.0312500302736743
2014-08-31,2014,8,port_V23,0.03125001687844111
2014-08-31,2014,8,port_V24,0.031249999810608706
2014-08-31,2014,8,port_V25,0.03125002909697763
2014-08-31,2014,8,port_V26,0.031250029086399476
2014-08-31,2014,8,port_V27,0.031250034222971707
2014-08-31,2014,8,port_V28,0.03125001023480267
2014-08-31,2014,8,port_V29,0.031250034075779656
2014-08-31,2014,8,port_V30,0.03125004272770311
2014-08-31,2014,8,port_V31,0.03125003809443754
2014-08-31,2014,8,port_V32,0.03125001227679977
2014-09-30,2014,9,port_V1,0.031249942589667075
2014-09-30,2014,9,port_V2,0.03124999255944261
2014-09-30,2014,9,port_V3,0.03125000015487352
2014-09-30,2014,9,port_V4,0.03124995517802093
2014-09-30,2014,9,port_V5,0.031249982748060984
2014-09-30,2014,9,port_V6,0.03124999583092326
2014-09-30,2014,9,port_V7,0.031249992118636494
2014-09-30,2014,9,port_V8,0.031249962281517205
2014-09-30,2014,9,port_V9,0.031249991528943255
2014-09-30,2014,9,port_V10,0.031250002613266784
2014-09-30,2014,9,port_V11,0.03124999412111981
2014-09-30,2014,9,port_V12,0.031249970849315863
2014-09-30,2014,9,port_V13,0.03124996907871763
2014-09-30,2014,9,port_V14,0.031249995917566817
2014-09-30,2014,9,port_V15,0.031249986966774015
2014-09-30,2014,9,port_V16,0.031249966774820608
2014-09-30,2014,9,port_V17,0.031249978382791747
2014-09-30,2014,9,port_V18,0.03125001621117169
2014-09-30,2014,9,port_V19,0.031250022289815924
2014-09-30,2014,9,port_V20,0.031249995503357376
2014-09-30,2014,9,port_V21,0.031250009500977026
2014-09-30,2014,9,port_V22,0.03125003027468377
2014-09-30,2014,9,port_V23,0.031250016878730524
2014-09-30,2014,9,port_V24,0.03124999981204461
2014-09-30,2014,9,port_V25,0.031250029098291394
2014-09-30,2014,9,port_V26,0.03125002908801274
2014-09-30,2014,9,port_V27,0.03125003422537219
2014-09-30,2014,9,port_V28,0.03125001023647473
2014-09-30,2014,9,port_V29,0.03125003407801668
2014-09-30,2014,9,port_V30,0.0312500427316786
2014-09-30,2014,9,port_V31,0.03125003809810567
2014-09-30,2014,9,port_V32,0.03125001227880845
2014-10-31,2014,10,port_V1,0.0312499425866552
2014-10-31,2014,10,port_V2,0.031249992559378117
2014-10-31,2014,10,port_V3,0.031250000155327806
2014-10-31,2014,10,port_V4,0.0312499551767684
2014-10-31,2014,10,port_V5,0.031249982746232686
2014-10-31,2014,10,port_V6,0.031249995830851977
2014-10-31,2014,10,port_V7,0.03124999211907581
2014-10-31,2014,10,port_V8,0.03124996227989836
2014-10-31,2014,10,port_V9,0.031249991526486876
2014-10-31,2014,10,port_V10,0.031250002612436156
2014-10-31,2014,10,port_V11,0.031249994121226587
2014-10-31,2014,10,port_V12,0.031249970848292813
2014-10-31,2014,10,port_V13,0.03124996907531601
2014-10-31,2014,10,port_V14,0.031249995916062884
2014-10-31,2014,10,port_V15,0.03124998696591493
2014-10-31,2014,10,port_V16,0.031249966771560833
2014-10-31,2014,10,port_V17,0.031249978381363466
2014-10-31,2014,10,port_V18,0.03125001621197511
2014-10-31,2014,10,port_V19,0.03125002228812114
2014-10-31,2014,10,port_V20,0.031249995502713037
2014-10-31,2014,10,port_V21,0.0312500095003094
2014-10-31,2014,10,port_V22,0.03125003027577763
