date,date_dt,yy,mm,method,gross_ret,turnover_raw,turnover,cost,net_ret,wealth_gross,wealth_net,drawdown_net
19970331,1997-03-31,1997,3,Triple Sort static + stock-level TC,0.020755945256510686,0.061913356732365074,0.061913356732365074,0.00015478339183091269,0.020601161864679772,1.4551625741757426,1.4348191520004727,0.0
19970430,1997-04-30,1997,4,Triple Sort static + stock-level TC,0.016566665850334516,0.07782863854608571,0.07782863854608571,0.00019457159636521428,0.0163720942539693,1.4792697663000247,1.4583101463944248,0.0
19970531,1997-05-31,1997,5,Triple Sort static + stock-level TC,0.023307165732704447,0.07489999401869785,0.07489999401869785,0.00018724998504674462,0.0231199157476577,1.5137473519065583,1.4920261541130182,0.0
19970630,1997-06-30,1997,6,Triple Sort static + stock-level TC,-0.013513022321416228,0.05853091713138932,0.05853091713138932,0.0001463272928284733,-0.013659349614244701,1.49329205015126,1.4716460472403914,-0.013659349614244753
19970731,1997-07-31,1997,7,Triple Sort static + stock-level TC,-0.05225927628339817,0.8969545858371908,0.8969545858371908,0.0022423864645929772,-0.05450166274799115,1.4152536883306033,1.3914388906892814,-0.06741655509620348
19970831,1997-08-31,1997,8,Triple Sort static + stock-level TC,0.03386766230743545,0.06227936657318046,0.06227936657318046,0.00015569841643295115,0.0337119638910025,1.4631850223263365,1.438347028328735,-0.035977335676259936
19970930,1997-09-30,1997,9,Triple Sort static + stock-level TC,0.030586813816158173,0.05986937472396481,0.05986937472396481,0.00014967343680991201,0.030437140379348263,1.5079391901828234,1.482126198744195,-0.006635242513365114
19971031,1997-10-31,1997,10,Triple Sort static + stock-level TC,0.023266212030005538,0.057939924723717576,0.057939924723717576,0.00014484981180929395,0.023121362218196245,1.5430232231099719,1.5163949754384378,0.0
19971130,1997-11-30,1997,11,Triple Sort static + stock-level TC,0.05368349769279619,0.0743951921939674,0.0743951921939674,0.0001859879804849185,0.05349750971231127,1.6258581067477271,1.5975183303646558,0.0
19971231,1997-12-31,1997,12,Triple Sort static + stock-level TC,-0.006229162165863599,0.06598055869307609,0.06598055869307609,0.00016495139673269022,-0.006394113562596289,1.6157303729421115,1.587303616741975,-0.0063941135625963375
19980131,1998-01-31,1998,1,Triple Sort static + stock-level TC,0.03432318743632739,0.06878514274245177,0.06878514274245177,0.00017196285685612943,0.03415122457947126,1.6711873893791709,1.6415119790331372,0.0
19980228,1998-02-28,1998,2,Triple Sort static + stock-level TC,0.005663791592324699,0.07842590596222349,0.07842590596222349,0.00019606476490555873,0.005467726827419141,1.6806526464643359,1.6504873181184267,0.0
19980331,1998-03-31,1998,3,Triple Sort static + stock-level TC,-0.025669593950200638,0.06396752635785735,0.06396752635785735,0.00015991881589464337,-0.02582951276609528,1.6375109754582662,1.6078560348648085,-0.02582951276609524
19980430,1998-04-30,1998,4,Triple Sort static + stock-level TC,0.011194992619177285,0.07494998981132438,0.07494998981132438,0.00018737497452831094,0.011007617644648974,1.6558428987423432,1.6255546993242418,-0.01510621652192301
19980531,1998-05-31,1998,5,Triple Sort static + stock-level TC,0.07159246609640693,0.0673493940667576,0.0673493940667576,0.00016837348516689403,0.07142409261124004,1.7743887753315306,1.7416584687134127,0.0
19980630,1998-06-30,1998,6,Triple Sort static + stock-level TC,0.044161778744460055,0.07084237755705071,0.07084237755705071,0.00017710594389262678,0.04398467280056743,1.8527489398343753,1.8182647465901096,0.0
19980731,1998-07-31,1998,7,Triple Sort static + stock-level TC,0.0675613596017065,0.8306634954003684,0.8306634954003684,0.0020766587385009213,0.06548470086320558,1.9779231772102062,1.9373332696106753,0.0
19980831,1998-08-31,1998,8,Triple Sort static + stock-level TC,-0.035171343841246004,0.08027090492722876,0.08027090492722876,0.0002006772623180719,-0.03537202110356408,1.9083569610529763,1.8688058763133697,-0.03537202110356408
