date_dt,yy,mm,method,gross_ret,turnover_raw,turnover,cost,net_ret
2001-12-31,2001,12,Triple Sort static (no TC),0.053203024266479645,0.0,0.0,0.0,0.053203024266479645
2002-01-31,2002,1,Triple Sort static (no TC),0.036963065767025426,0.0,0.0,0.0,0.036963065767025426
2002-02-28,2002,2,Triple Sort static (no TC),-0.04754165165925675,0.0,0.0,0.0,-0.04754165165925675
2002-03-31,2002,3,Triple Sort static (no TC),-0.033634002913778535,0.0,0.0,0.0,-0.033634002913778535
2002-04-30,2002,4,Triple Sort static (no TC),0.06248427631153065,0.0,0.0,0.0,0.06248427631153065
2002-05-31,2002,5,Triple Sort static (no TC),0.017594849849377113,0.0,0.0,0.0,0.017594849849377113
2002-06-30,2002,6,Triple Sort static (no TC),-0.042297402394699896,0.0,0.0,0.0,-0.042297402394699896
2002-07-31,2002,7,Triple Sort static (no TC),-0.019144370290068408,0.0,0.0,0.0,-0.019144370290068408
2002-08-31,2002,8,Triple Sort static (no TC),-0.03758021173266729,0.0,0.0,0.0,-0.03758021173266729
2002-09-30,2002,9,Triple Sort static (no TC),-0.08760975522259443,0.0,0.0,0.0,-0.08760975522259443
2002-10-31,2002,10,Triple Sort static (no TC),0.01480649511755754,0.0,0.0,0.0,0.01480649511755754
2002-11-30,2002,11,Triple Sort static (no TC),0.0720370004798553,0.0,0.0,0.0,0.0720370004798553
2002-12-31,2002,12,Triple Sort static (no TC),0.02979735237973422,0.0,0.0,0.0,0.02979735237973422
2003-01-31,2003,1,Triple Sort static (no TC),0.005485523340302846,0.0,0.0,0.0,0.005485523340302846
2003-02-28,2003,2,Triple Sort static (no TC),0.00021605604091830358,0.0,0.0,0.0,0.00021605604091830358
2003-03-31,2003,3,Triple Sort static (no TC),0.051244273167763935,0.0,0.0,0.0,0.051244273167763935
2003-04-30,2003,4,Triple Sort static (no TC),-0.013995222159991964,0.0,0.0,0.0,-0.013995222159991964
2003-05-31,2003,5,Triple Sort static (no TC),-0.003451309643465304,0.0,0.0,0.0,-0.003451309643465304
2003-06-30,2003,6,Triple Sort static (no TC),-0.05964734510845723,0.0,0.0,0.0,-0.05964734510845723
2003-07-31,2003,7,Triple Sort static (no TC),-0.08957125788007977,0.0,0.0,0.0,-0.08957125788007977
2003-08-31,2003,8,Triple Sort static (no TC),0.0028239087296412523,0.0,0.0,0.0,0.0028239087296412523
2003-09-30,2003,9,Triple Sort static (no TC),-0.11221507384679541,0.0,0.0,0.0,-0.11221507384679541
2003-10-31,2003,10,Triple Sort static (no TC),0.07840013954337645,0.0,0.0,0.0,0.07840013954337645
2003-11-30,2003,11,Triple Sort static (no TC),0.1001907069863568,0.0,0.0,0.0,0.1001907069863568
2003-12-31,2003,12,Triple Sort static (no TC),-0.07049540613966404,0.0,0.0,0.0,-0.07049540613966404
2004-01-31,2004,1,Triple Sort static (no TC),-0.019579452695550875,0.0,0.0,0.0,-0.019579452695550875
2004-02-29,2004,2,Triple Sort static (no TC),-0.006676355518259087,0.0,0.0,0.0,-0.006676355518259087
2004-03-31,2004,3,Triple Sort static (no TC),-0.015513781145962463,0.0,0.0,0.0,-0.015513781145962463
2004-04-30,2004,4,Triple Sort static (no TC),0.0914593772575225,0.0,0.0,0.0,0.0914593772575225
2004-05-31,2004,5,Triple Sort static (no TC),0.082395159269422,0.0,0.0,0.0,0.082395159269422
2004-06-30,2004,6,Triple Sort static (no TC),0.014979877156154123,0.0,0.0,0.0,0.014979877156154123
2004-07-31,2004,7,Triple Sort static (no TC),0.039496550025345495,0.0,0.0,0.0,0.039496550025345495
2004-08-31,2004,8,Triple Sort static (no TC),0.057817454994775516,0.0,0.0,0.0,0.057817454994775516
2004-09-30,2004,9,Triple Sort static (no TC),-0.02076528867320562,0.0,0.0,0.0,-0.02076528867320562
2004-10-31,2004,10,Triple Sort static (no TC),0.07919501637002076,0.0,0.0,0.0,0.07919501637002076
2004-11-30,2004,11,Triple Sort static (no TC),0.029266055830439036,0.0,0.0,0.0,0.029266055830439036
2004-12-31,2004,12,Triple Sort static (no TC),0.044684576897595356,0.0,0.0,0.0,0.044684576897595356
2005-01-31,2005,1,Triple Sort static (no TC),0.021808651898005696,0.0,0.0,0.0,0.021808651898005696
2005-02-28,2005,2,Triple Sort static (no TC),0.007012500736532851,0.0,0.0,0.0,0.007012500736532851
2005-03-31,2005,3,Triple Sort static (no TC),-0.01044309801928237,0.0,0.0,0.0,-0.01044309801928237
2005-04-30,2005,4,Triple Sort static (no TC),-0.043858215634975446,0.0,0.0,0.0,-0.043858215634975446
2005-05-31,2005,5,Triple Sort static (no TC),0.023422300409756677,0.0,0.0,0.0,0.023422300409756677
2005-06-30,2005,6,Triple Sort static (no TC),0.012457337181147271,0.0,0.0,0.0,0.012457337181147271
2005-07-31,2005,7,Triple Sort static (no TC),-0.033456013650741065,0.0,0.0,0.0,-0.033456013650741065
2005-08-31,2005,8,Triple Sort static (no TC),-0.00419610303073394,0.0,0.0,0.0,-0.00419610303073394
2005-09-30,2005,9,Triple Sort static (no TC),0.015448105446315067,0.0,0.0,0.0,0.015448105446315067
2005-10-31,2005,10,Triple Sort static (no TC),0.022253733358728024,0.0,0.0,0.0,0.022253733358728024
2005-11-30,2005,11,Triple Sort static (no TC),0.042514365310164934,0.0,0.0,0.0,0.042514365310164934
2005-12-31,2005,12,Triple Sort static (no TC),0.034892982413549316,0.0,0.0,0.0,0.034892982413549316
2006-01-31,2006,1,Triple Sort static (no TC),-0.035578943141303894,0.0,0.0,0.0,-0.035578943141303894
2006-02-28,2006,2,Triple Sort static (no TC),0.02526219699267463,0.0,0.0,0.0,0.02526219699267463
2006-03-31,2006,3,Triple Sort static (no TC),-0.016372232959370438,0.0,0.0,0.0,-0.016372232959370438
2006-04-30,2006,4,Triple Sort static (no TC),-0.033798219243235214,0.0,0.0,0.0,-0.033798219243235214
2006-05-31,2006,5,Triple Sort static (no TC),0.034883079625809485,0.0,0.0,0.0,0.034883079625809485
2006-06-30,2006,6,Triple Sort static (no TC),0.005592408711538058,0.0,0.0,0.0,0.005592408711538058
2006-07-31,2006,7,Triple Sort static (no TC),0.03740695216493781,0.0,0.0,0.0,0.03740695216493781
2006-08-31,2006,8,Triple Sort static (no TC),-0.002675599377001108,0.0,0.0,0.0,-0.002675599377001108
2006-09-30,2006,9,Triple Sort static (no TC),-0.005760161124665864,0.0,0.0,0.0,-0.005760161124665864
2006-10-31,2006,10,Triple Sort static (no TC),-0.018391347940692276,0.0,0.0,0.0,-0.018391347940692276
2006-11-30,2006,11,Triple Sort static (no TC),0.03281890045141327,0.0,0.0,0.0,0.03281890045141327
2006-12-31,2006,12,Triple Sort static (no TC),-0.004972289649651493,0.0,0.0,0.0,-0.004972289649651493
2007-01-31,2007,1,Triple Sort static (no TC),0.04164358507834538,0.0,0.0,0.0,0.04164358507834538
2007-02-28,2007,2,Triple Sort static (no TC),-0.00553172690916194,0.0,0.0,0.0,-0.00553172690916194
2007-03-31,2007,3,Triple Sort static (no TC),0.011854252894666278,0.0,0.0,0.0,0.011854252894666278
2007-04-30,2007,4,Triple Sort static (no TC),0.012189972500341845,0.0,0.0,0.0,0.012189972500341845
2007-05-31,2007,5,Triple Sort static (no TC),-0.03265789577515686,0.0,0.0,0.0,-0.03265789577515686
2007-06-30,2007,6,Triple Sort static (no TC),-0.00694094821775332,0.0,0.0,0.0,-0.00694094821775332
2007-07-31,2007,7,Triple Sort static (no TC),-0.0034462253190845346,0.0,0.0,0.0,-0.0034462253190845346
2007-08-31,2007,8,Triple Sort static (no TC),0.021314931075307502,0.0,0.0,0.0,0.021314931075307502
2007-09-30,2007,9,Triple Sort static (no TC),0.015322102674112343,0.0,0.0,0.0,0.015322102674112343
2007-10-31,2007,10,Triple Sort static (no TC),0.030971256764082626,0.0,0.0,0.0,0.030971256764082626
2007-11-30,2007,11,Triple Sort static (no TC),0.011352693123435042,0.0,0.0,0.0,0.011352693123435042
2007-12-31,2007,12,Triple Sort static (no TC),0.016266708085451775,0.0,0.0,0.0,0.016266708085451775
2008-01-31,2008,1,Triple Sort static (no TC),0.015915730395771065,0.0,0.0,0.0,0.015915730395771065
2008-02-29,2008,2,Triple Sort static (no TC),-0.007901594368310696,0.0,0.0,0.0,-0.007901594368310696
2008-03-31,2008,3,Triple Sort static (no TC),0.008753207586997118,0.0,0.0,0.0,0.008753207586997118
2008-04-30,2008,4,Triple Sort static (no TC),0.033469981609385864,0.0,0.0,0.0,0.033469981609385864
2008-05-31,2008,5,Triple Sort static (no TC),0.03493324190523673,0.0,0.0,0.0,0.03493324190523673
2008-06-30,2008,6,Triple Sort static (no TC),-0.01551690818894167,0.0,0.0,0.0,-0.01551690818894167
